,Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Engine Condition
0,1007,3.771152795,7.327709575,5.272088141,77.0411592,70.13375257,1
1,453,3.007700046,5.530251873,6.194230687,74.72386675,73.65549863,1
2,1162,2.822622014,7.133174756,1.783499322,74.76244519,70.12330781,1
3,945,4.757571329,8.730620092,1.758604444,76.63842165,73.63254036,1
4,785,3.709107257,5.768811053,4.194821584,76.76379453,90.26738188,1
5,987,2.814294369,5.775406567,1.319907532,87.46444768,86.98273946,0
6,475,2.190595253,5.788436968,2.530182391,76.69335314,92.23868387,1
7,924,3.966984562,8.265195537,1.330280378,75.79511399,88.20677227,1
8,580,2.513439593,4.133629258,4.002454324,74.99805729,73.50837536,1
9,720,4.351282093,7.87990519,6.175328548,77.15570778,77.89539101,1
10,1009,3.91825598,5.893327092,1.038322846,76.43713664,79.28923924,1
11,555,2.73088755,5.987399566,0.824371251,75.8653778,69.23327674,1
12,326,3.437109818,5.990603993,3.009556513,74.44970055,82.00423207,1
13,468,2.625445389,4.418414607,1.972966086,73.70911896,82.80237956,1
14,830,2.302829569,7.791464727,1.579634964,77.4685599,74.36300366,1
15,676,3.538228013,5.956472376,3.225336254,75.22635187,67.15322018,1
16,1125,1.909839657,2.999859857,3.642712433,78.12294067,88.92110805,0
17,366,0.040510041,7.073204228,1.770704785,79.30725645,66.2738482,1
18,1242,3.885375131,6.145073964,1.77310589,77.41968632,75.82947051,1
19,496,2.901275062,4.526280857,1.42795887,75.18562816,81.97889644,1
20,650,2.997577204,5.764933376,2.490282301,75.1432173,72.34595682,1
21,688,3.491281073,5.472862134,2.736850165,78.94502741,78.30692138,1
22,891,2.538577668,7.323520369,1.967228555,75.49071205,75.29610963,1
23,538,4.322346291,8.600300417,0.804265273,85.06871355,65.29031814,1
24,641,4.506067468,8.973193908,4.102585507,75.53621403,77.93685738,1
25,729,4.248359258,6.668821239,1.695893202,75.05778387,80.38528884,1
26,414,3.928895846,4.468992595,1.740372554,74.46148927,80.17177589,1
27,1214,4.103528689,6.295781417,4.384981649,78.0533643,81.55447487,0
28,522,2.571046542,6.107686939,2.682155913,76.52959874,67.53940307,1
29,753,2.615203106,5.977275401,1.593710606,75.52290893,74.36091808,1
30,1188,3.193229919,5.985348266,1.482826603,79.49192828,80.98364135,1
31,1003,4.297735542,9.941437519,1.788360986,76.00401753,84.39185808,1
32,790,2.121711261,6.335796078,2.356901163,77.27850585,76.81601477,1
33,658,4.356801419,4.246735183,2.950434354,78.3057622,73.58248687,0
34,626,4.632697599,9.455323672,0.458068702,86.20509396,79.93333144,1
35,1159,2.773971361,5.308805626,2.289546509,75.05765508,81.44834735,1
36,1016,1.982847739,3.40941125,3.414664579,77.44456289,77.27602946,0
37,884,4.47634055,0.552379309,1.646092902,80.11756228,78.17679602,0
38,628,2.978557013,5.827935205,1.381222459,80.33482125,65.81650964,1
39,739,2.296940824,7.00702012,3.109268615,74.57464725,65.28682252,1
40,1076,4.974323599,7.301865612,5.115030337,76.27623341,67.95035713,1
41,925,2.56988368,7.655515915,2.872920487,77.56820823,85.30102694,1
42,504,0.060044018,5.258088556,2.049383588,77.21227757,82.53860572,1
43,996,2.721966849,5.139060717,1.905298878,75.27130997,78.10228417,0
44,392,3.941430493,12.12821812,1.941880931,76.2614273,81.48524642,1
45,868,4.718417646,7.392882145,1.521710235,75.62777327,78.14053232,1
46,841,2.404774382,7.428583165,1.661762172,75.99882298,75.41342676,1
47,664,2.10395966,5.798264267,2.441504337,77.71752748,75.66451595,1
48,540,1.824257125,7.0340178,4.134992217,76.08351058,75.91593113,1
49,525,2.581526728,3.199879449,2.294576562,76.0178332,74.88518559,1
50,1302,1.946854196,4.365183475,5.583561657,77.50544195,80.55022642,0
51,616,2.181552586,3.83614443,1.213296693,76.22294241,70.14842686,1
52,1087,4.294720701,3.272855489,2.086659702,85.17823112,75.42729139,0
